label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200,rc_SocketException
upm,0.04970,0.07745,0.09227,41921,84,8,0.20699,145,153,0.01600,0.02900,0.19300,0.32900,1.26700,1.26700,1.26700,145,8
uu,0.07794,0.09821,0.10979,82331,90,17,0.33819,264,281,0.01200,0.02700,0.15700,0.33300,1.32600,3.11800,3.11800,264,17
pma/7,0.01774,0.05254,0.05291,26810,100,0,0.11780,35,35,0.01100,0.02000,0.13100,0.22800,0.69000,0.69000,0.69000,35,
pma/23,0.01093,0.03343,0.03357,10724,100,0,0.04854,14,14,0.01100,0.01600,0.05600,0.20400,0.20400,0.20400,0.20400,14,
mas/CN,0.10867,0.22247,0.22313,30195,100,0,0.34131,15,15,0.01800,0.03600,0.65800,1.29200,1.29200,1.29200,1.29200,15,
cc,0.02467,0.11219,0.11233,3213,100,0,0.21791,21,21,0.01000,0.01800,0.57400,0.66400,0.68700,0.68700,0.68700,21,
id,0.27792,0.37917,0.37942,1932,100,0,0.84839,12,12,0.01500,0.02000,0.66100,3.08600,3.08600,3.08600,3.08600,12,
wpm,0.00992,0.04854,0.04869,4914,100,0,0.12750,26,26,0.01300,0.02200,0.04000,0.04500,0.68500,0.68500,0.68500,26,
r/XX,0.01623,0.08523,0.08546,2041,100,0,0.18643,13,13,0.01200,0.01600,0.23200,0.70000,0.70000,0.70000,0.70000,13,
pma/4,0.19224,0.28324,0.28335,13022,100,0,0.75434,17,17,0.01300,0.01900,1.18400,3.09400,3.09400,3.09400,3.09400,17,
pd,0.21137,0.36694,0.36700,10488,100,0,0.79854,16,16,0.01800,0.03200,1.21700,3.07800,3.07800,3.07800,3.07800,16,
,0.07340,0.10882,0.11709,254150,84,25,0.35849,649,674,0.01000,0.02600,0.18300,0.68500,1.32600,3.12600,3.12600,649,25
ur,0.07500,0.10975,0.10975,2448,100,0,0.26535,16,16,0.01400,0.01700,0.31500,1.09700,1.09700,1.09700,1.09700,16,
pma/1,0.12189,0.13961,0.13983,13788,100,0,0.31789,18,18,0.01400,0.02100,1.03200,1.04300,1.04300,1.04300,1.04300,18,
cu,0.00432,0.02663,0.02705,2907,100,0,0.00975,19,19,0.01600,0.02500,0.04200,0.06000,0.06000,0.06000,0.06000,19,
u,0.17283,0.19522,0.19528,7416,100,0,0.71106,18,18,0.01300,0.02100,0.03800,3.12600,3.12600,3.12600,3.12600,18,
