label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
pma/4,0.04100,0.06450,0.06800,1532,10,0,0.04800,2,2,0.02000,0.02000,0.11600,0.11600,0.11600,0.11600,0.11600,2
uu,0.01173,0.03482,0.03545,3366,10,0,0.02915,22,22,0.01800,0.02500,0.04200,0.11600,0.13400,0.13400,0.13400,22
cc,0.02900,0.04633,0.04867,459,10,0,0.04903,3,3,0.01400,0.01400,0.11800,0.11800,0.11800,0.11800,0.11800,3
wpm,0.02850,0.06650,0.06683,1134,10,0,0.04768,6,6,0.02400,0.03200,0.14300,0.14300,0.14300,0.14300,0.14300,6
ur,0.00400,0.03500,0.03500,153,10,0,0.00000,1,1,0.03500,0.03500,0.03500,0.03500,0.03500,0.03500,0.03500,1
u,0.00500,0.01700,0.01700,408,10,0,0.00000,1,1,0.01700,0.01700,0.01700,0.01700,0.01700,0.01700,0.01700,1
mas/CN,0.00250,0.01300,0.01300,4026,10,0,0.00000,2,2,0.01300,0.01300,0.01300,0.01300,0.01300,0.01300,0.01300,2
cu,0.00575,0.02225,0.02250,612,10,0,0.00269,4,4,0.01900,0.02100,0.02600,0.02600,0.02600,0.02600,0.02600,4
,0.01163,0.03376,0.03422,22193,10,0,0.02968,67,67,0.01200,0.02600,0.04800,0.11800,0.14300,0.14300,0.14300,67
upm,0.00529,0.02864,0.02864,2142,10,0,0.00499,14,14,0.01700,0.02800,0.03300,0.03800,0.03800,0.03800,0.03800,14
pma/23,0.00700,0.02300,0.02300,1532,10,0,0.00700,2,2,0.01600,0.01600,0.03000,0.03000,0.03000,0.03000,0.03000,2
pma/7,0.00517,0.01783,0.01783,4596,10,0,0.00474,6,6,0.01200,0.01700,0.02700,0.02700,0.02700,0.02700,0.02700,6
pd,0.00950,0.03750,0.03750,1310,10,0,0.01050,2,2,0.02700,0.02700,0.04800,0.04800,0.04800,0.04800,0.04800,2
pma/1,0.00300,0.01900,0.01900,766,10,0,0.00000,1,1,0.01900,0.01900,0.01900,0.01900,0.01900,0.01900,0.01900,1
r/XX,0.00300,0.01400,0.01400,157,10,0,0.00000,1,1,0.01400,0.01400,0.01400,0.01400,0.01400,0.01400,0.01400,1
